Task,Configuration,Index,CumulativeSpectralEnergy
Santa Fe,Multi-lattice fusion,43,0.898088924571633
Santa Fe,Multi-lattice fusion,44,0.901249340197162
Santa Fe,Multi-lattice fusion,45,0.904394195761666
Santa Fe,Multi-lattice fusion,46,0.907462411958367
Santa Fe,Multi-lattice fusion,47,0.91038985318891
Santa Fe,Multi-lattice fusion,48,0.913180637658565
Santa Fe,Multi-lattice fusion,49,0.915931523596963
Santa Fe,Multi-lattice fusion,50,0.918516795513414
Santa Fe,Multi-lattice fusion,51,0.921043132605078
Santa Fe,Multi-lattice fusion,52,0.923534506720254
Santa Fe,Multi-lattice fusion,53,0.925955673369348
Santa Fe,Multi-lattice fusion,54,0.928320483737159
Santa Fe,Multi-lattice fusion,55,0.930620390373667
Santa Fe,Multi-lattice fusion,56,0.932902838059264
Santa Fe,Multi-lattice fusion,57,0.935138010582002
Santa Fe,Multi-lattice fusion,58,0.937328548747061
Santa Fe,Multi-lattice fusion,59,0.939400998397307
Santa Fe,Multi-lattice fusion,60,0.941390002800312
Santa Fe,Multi-lattice fusion,61,0.943334135468371
Santa Fe,Multi-lattice fusion,62,0.945216813748851
Santa Fe,Multi-lattice fusion,63,0.947016988254744
Santa Fe,Multi-lattice fusion,64,0.948777569623983
Santa Fe,Multi-lattice fusion,65,0.950502323598122
Santa Fe,Multi-lattice fusion,66,0.952210530826513
Santa Fe,Multi-lattice fusion,67,0.953829147319933
Santa Fe,Multi-lattice fusion,68,0.955405261545622
Santa Fe,Multi-lattice fusion,69,0.956961993103109
Santa Fe,Multi-lattice fusion,70,0.958471982576793
Santa Fe,Multi-lattice fusion,71,0.959948263374013
Santa Fe,Multi-lattice fusion,72,0.961329457412299
Santa Fe,Multi-lattice fusion,73,0.962676059280651
Santa Fe,Multi-lattice fusion,74,0.963967509203592
Santa Fe,Multi-lattice fusion,75,0.965213666143425
Santa Fe,Multi-lattice fusion,76,0.966453675752729
Santa Fe,Multi-lattice fusion,77,0.967639557443118
Santa Fe,Multi-lattice fusion,78,0.968796850844289
Santa Fe,Multi-lattice fusion,79,0.969936106561553
Santa Fe,Multi-lattice fusion,80,0.971025857012318
Santa Fe,Multi-lattice fusion,81,0.972105263109814
Santa Fe,Multi-lattice fusion,82,0.973121401290918
Santa Fe,Multi-lattice fusion,83,0.974107776334231
Santa Fe,Multi-lattice fusion,84,0.975056546327348
Santa Fe,Multi-lattice fusion,85,0.975984469228002
Santa Fe,Multi-lattice fusion,86,0.976894873918633
Santa Fe,Multi-lattice fusion,87,0.9777537559038
Santa Fe,Multi-lattice fusion,88,0.978606998866525
Santa Fe,Multi-lattice fusion,89,0.979425179264971
Santa Fe,Multi-lattice fusion,90,0.980210117580782
Santa Fe,Multi-lattice fusion,91,0.980967544146943
Santa Fe,Multi-lattice fusion,92,0.981717885885738
Santa Fe,Multi-lattice fusion,93,0.982439620762587
Santa Fe,Multi-lattice fusion,94,0.983139024636442
Santa Fe,Multi-lattice fusion,95,0.983786731802827
Santa Fe,Multi-lattice fusion,96,0.984415685845927
Santa Fe,Multi-lattice fusion,97,0.985036939543815
Santa Fe,Multi-lattice fusion,98,0.985614323674341
Santa Fe,Multi-lattice fusion,99,0.986160610888692
Santa Fe,Multi-lattice fusion,100,0.986676565430791
Santa Fe,Multi-lattice fusion,101,0.987189496248212
Santa Fe,Multi-lattice fusion,102,0.987697343734174
Santa Fe,Multi-lattice fusion,103,0.988189237271218
Santa Fe,Multi-lattice fusion,104,0.98865877746674
Santa Fe,Multi-lattice fusion,105,0.989112175319597
Santa Fe,Multi-lattice fusion,106,0.989545772269637
Santa Fe,Multi-lattice fusion,107,0.989954490464396
Santa Fe,Multi-lattice fusion,108,0.990350516515419
Santa Fe,Multi-lattice fusion,109,0.990724993050316
Santa Fe,Multi-lattice fusion,110,0.991094221860189
Santa Fe,Multi-lattice fusion,111,0.99144802658534
Santa Fe,Multi-lattice fusion,112,0.991783114288612
Santa Fe,Multi-lattice fusion,113,0.992108611421111
Santa Fe,Multi-lattice fusion,114,0.992421855728146
Santa Fe,Multi-lattice fusion,115,0.992727951864711
Santa Fe,Multi-lattice fusion,116,0.993017491801765
Santa Fe,Multi-lattice fusion,117,0.993303780838976
Santa Fe,Multi-lattice fusion,118,0.993571665079112
Santa Fe,Multi-lattice fusion,119,0.99383279831097
